country,ccode,year,cyear,numbil,numbil0,numbilall,netw,netw0,netwall,gdpcurdol,gdpbill,pop,lnpop,gdppc,lngdp,lngdppc,d7netwall,d7numbilall,lowinc08,midinc08,totppb9008,privprocbarb,fullprivproc,wtoyear,gattwto,gattwto08,mcapbdol,mcapbdol08,lnmcap08,topintaxnew,topint08,rintr,noyrs,roflaw,nrrents
United States,2,1990,21990,,,,,,,,,,,,,,,,,,,,6.75,,,0,3060,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,1991,21991,,,,,,,,,,,,,,,,,,,,6.75,,,0,4090,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,1992,21992,,,,,,,,,,,,,,,,,,,,6.75,,,0,4490,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,1993,21993,,,,,,,,,,,,,,,,,,,,6.75,,,0,5136.1987,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,1994,21994,,,,,,,,,,,,,,,,,,,,6.75,,,0,5067.0161,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,1995,21995,,,,,,,,,,,,,,,,,,,,6.75,,,0,6857.6221,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,1996,21996,135,135,423,312.10001,312.10001,1049.5,8100000000000,8100,269394000,19.411686,30067.484,29.722885,10.311199,,,0,0,,,6.75,1995,1948,60,8484.4326,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,1997,21997,60,60,224,311.41,311.41,1009.99,8610000000000,8610,272657000,19.423725,31578.137,29.783945,10.36022,,,0,0,,,6.75,1995,1948,60,11308.779,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,1998,21998,70,70,222,446.39999,446.39999,1071.353,9090000000000,9090,275854000,19.435383,32952.215,29.838196,10.402814,,,0,0,,,6.75,1995,1948,60,13451.352,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,1999,21999,50,50,298,452.29999,452.29999,1270.9,9660000000000,9660,279040000,19.446865,34618.691,29.899015,10.452149,,,0,0,,,6.75,1995,1948,60,16635.113,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,2000,22000,52,52,322,487.29999,487.29999,1386.1,10300000000000,10300,282162411,19.457993,36503.801,29.963165,10.505172,,,0,0,,,6.75,1995,1948,60,15104.037,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,2001,22001,269,269,538,907.59998,907.59998,1728.6,10600000000000,10600,284968955,19.467892,37197.035,29.991875,10.523984,,,0,0,,,6.75,1995,1948,60,13854.616,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,2002,22002,227,227,472,782.40002,782.40002,1515.5,11000000000000,11000,287625193,19.477169,38244.215,30.028917,10.551747,,,0,0,,,6.75,1995,1948,60,11098.102,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
United States,2,2003,22003,222,222,476,703.40002,703.40002,1403.3,11500000000000,11500,290107933,19.485764,39640.418,30.073368,10.587605,353.80005,53,0,0,,,6.75,1995,1948,60,14266.266,11737.6,9.3706379,39.799999,39.799999,4.9884052,20,1.61,
